team_id,url_for_year,Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
BOS,http://www.hockey-reference.com/teams/BOS/2012.html,2011-12,NHL,Boston Bruins,82,49,29,,4,102,.622,0.75,-0.07,1st,Lost NHL Conference Quarter-Finals,C. Julien
BOS,http://www.hockey-reference.com/teams/BOS/2011.html,2010-11,NHL,Boston Bruins,82,46,25,,11,103,.628,0.56,-0.07,1st,<strong>Won Stanley Cup Finals</strong>,C. Julien
BOS,http://www.hockey-reference.com/teams/BOS/2010.html,2009-10,NHL,Boston Bruins,82,39,30,,13,91,.555,0.01,-0.06,3rd,Lost NHL Conference Semi-Finals,C. Julien
BOS,http://www.hockey-reference.com/teams/BOS/2009.html,2008-09,NHL,Boston Bruins,82,53,19,,10,116,.707,0.89,-0.06,1st,Lost NHL Conference Semi-Finals,C. Julien
BOS,http://www.hockey-reference.com/teams/BOS/2008.html,2007-08,NHL,Boston Bruins,82,41,29,,12,94,.573,-0.20,-0.08,3rd,Lost NHL Conference Quarter-Finals,C. Julien
BOS,http://www.hockey-reference.com/teams/BOS/2007.html,2006-07,NHL,Boston Bruins,82,35,41,,6,76,.463,-0.87,-0.01,5th,,D. Lewis
BOS,http://www.hockey-reference.com/teams/BOS/2006.html,2005-06,NHL,Boston Bruins,82,29,37,,16,74,.451,-0.36,0.08,5th,,M. Sullivan
BOS,http://www.hockey-reference.com/teams/BOS/2004.html,2003-04,NHL,Boston Bruins,82,41,19,15,7,104,.634,0.29,0.03,1st,Lost NHL Conference Quarter-Finals,M. Sullivan
BOS,http://www.hockey-reference.com/teams/BOS/2003.html,2002-03,NHL,Boston Bruins,82,36,31,11,4,87,.530,0.02,-0.08,3rd,Lost NHL Conference Quarter-Finals,R. Ftorek,M. O'Connell
BOS,http://www.hockey-reference.com/teams/BOS/2002.html,2001-02,NHL,Boston Bruins,82,43,24,6,9,101,.616,0.33,-0.09,1st,Lost NHL Conference Quarter-Finals,R. Ftorek
BOS,http://www.hockey-reference.com/teams/BOS/2001.html,2000-01,NHL,Boston Bruins,82,36,30,8,8,88,.537,-0.27,0.00,4th,,P. Burns,M. Keenan
