team_id,url_for_year,Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
CGY,http://www.hockey-reference.com/teams/CGY/2012.html,2011-12,NHL,Calgary Flames,82,37,29,,16,90,.549,-0.28,0.01,2nd,,B. Sutter
CGY,http://www.hockey-reference.com/teams/CGY/2011.html,2010-11,NHL,Calgary Flames,82,41,29,,12,94,.573,0.14,-0.02,2nd,,B. Sutter
CGY,http://www.hockey-reference.com/teams/CGY/2010.html,2009-10,NHL,Calgary Flames,82,40,32,,10,90,.549,-0.03,0.04,3rd,,B. Sutter
CGY,http://www.hockey-reference.com/teams/CGY/2009.html,2008-09,NHL,Calgary Flames,82,46,30,,6,98,.598,0.07,0.00,2nd,Lost NHL Conference Quarter-Finals,M. Keenan
CGY,http://www.hockey-reference.com/teams/CGY/2008.html,2007-08,NHL,Calgary Flames,82,42,30,,10,94,.573,0.13,0.10,3rd,Lost NHL Conference Quarter-Finals,M. Keenan
CGY,http://www.hockey-reference.com/teams/CGY/2007.html,2006-07,NHL,Calgary Flames,82,43,29,,10,96,.585,0.51,0.12,3rd,Lost NHL Conference Quarter-Finals,J. Playfair
CGY,http://www.hockey-reference.com/teams/CGY/2006.html,2005-06,NHL,Calgary Flames,82,46,25,,11,103,.628,0.30,0.08,1st,Lost NHL Conference Quarter-Finals,D. Sutter
CGY,http://www.hockey-reference.com/teams/CGY/2004.html,2003-04,NHL,Calgary Flames,82,42,30,7,3,94,.573,0.33,0.04,3rd,Lost Stanley Cup Finals,D. Sutter
CGY,http://www.hockey-reference.com/teams/CGY/2003.html,2002-03,NHL,Calgary Flames,82,29,36,13,4,75,.457,-0.37,0.14,5th,,G. Gilbert,A. MacNeil,D. Sutter
CGY,http://www.hockey-reference.com/teams/CGY/2002.html,2001-02,NHL,Calgary Flames,82,32,35,12,3,79,.482,-0.15,0.08,4th,,G. Gilbert
CGY,http://www.hockey-reference.com/teams/CGY/2001.html,2000-01,NHL,Calgary Flames,82,27,36,15,4,73,.445,-0.37,0.11,4th,,D. Hay,G. Gilbert
CGY,http://www.hockey-reference.com/teams/CGY/2000.html,1999-00,NHL,Calgary Flames,82,31,36,10,5,77,.470,-0.42,0.13,4th,,B. Sutter
