team_id,url_for_year,Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
COL,http://www.hockey-reference.com/teams/COL/2012.html,2011-12,NHL,Colorado Avalanche,82,41,35,,6,88,.537,-0.13,0.01,3rd,,J. Sacco
COL,http://www.hockey-reference.com/teams/COL/2011.html,2010-11,NHL,Colorado Avalanche,82,30,44,,8,68,.415,-0.70,0.05,4th,,J. Sacco
COL,http://www.hockey-reference.com/teams/COL/2010.html,2009-10,NHL,Colorado Avalanche,82,43,30,,9,95,.579,0.16,0.02,2nd,Lost NHL Conference Quarter-Finals,J. Sacco
COL,http://www.hockey-reference.com/teams/COL/2009.html,2008-09,NHL,Colorado Avalanche,82,32,45,,5,69,.421,-0.66,0.05,5th,,T. Granato
COL,http://www.hockey-reference.com/teams/COL/2008.html,2007-08,NHL,Colorado Avalanche,82,44,31,,7,95,.579,0.24,0.09,2nd,Lost NHL Conference Semi-Finals,J. Quenneville
COL,http://www.hockey-reference.com/teams/COL/2007.html,2006-07,NHL,Colorado Avalanche,82,44,31,,7,95,.579,0.39,0.13,4th,,J. Quenneville
COL,http://www.hockey-reference.com/teams/COL/2006.html,2005-06,NHL,Colorado Avalanche,82,43,30,,9,95,.579,0.39,0.07,2nd,Lost NHL Conference Semi-Finals,J. Quenneville
COL,http://www.hockey-reference.com/teams/COL/2004.html,2003-04,NHL,Colorado Avalanche,82,40,22,13,7,100,.610,0.48,0.02,2nd,Lost NHL Conference Semi-Finals,T. Granato
COL,http://www.hockey-reference.com/teams/COL/2003.html,2002-03,NHL,Colorado Avalanche,82,42,19,13,8,105,.640,0.75,0.06,1st,Lost NHL Conference Quarter-Finals,B. Hartley,T. Granato
COL,http://www.hockey-reference.com/teams/COL/2002.html,2001-02,NHL,Colorado Avalanche,82,45,28,8,1,99,.604,0.58,0.06,1st,Lost NHL Conference Finals,B. Hartley
COL,http://www.hockey-reference.com/teams/COL/2001.html,2000-01,NHL,Colorado Avalanche,82,52,16,10,4,118,.720,0.95,0.00,1st,<strong>Won Stanley Cup Finals</strong>,B. Hartley
COL,http://www.hockey-reference.com/teams/COL/2000.html,1999-00,NHL,Colorado Avalanche,82,42,28,11,1,96,.585,0.46,0.07,1st,Lost NHL Conference Finals,B. Hartley
COL,http://www.hockey-reference.com/teams/COL/1999.html,1998-99,NHL,Colorado Avalanche,82,44,28,10,,98,.598,0.34,-0.08,1st,Lost NHL Conference Finals,B. Hartley
COL,http://www.hockey-reference.com/teams/COL/1998.html,1997-98,NHL,Colorado Avalanche,82,39,26,17,,95,.579,0.27,-0.05,1st,Lost NHL Conference Quarter-Finals,M. Crawford
COL,http://www.hockey-reference.com/teams/COL/1997.html,1996-97,NHL,Colorado Avalanche,82,49,24,9,,107,.652,0.81,-0.07,1st,Lost NHL Conference Finals,M. Crawford
COL,http://www.hockey-reference.com/teams/COL/1996.html,1995-96,NHL,Colorado Avalanche,82,47,25,10,,104,.634,0.93,-0.12,1st,<strong>Won Stanley Cup Finals</strong>,M. Crawford
