team_id,url_for_year,Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
DET,http://www.hockey-reference.com/teams/DET/2012.html,2011-12,NHL,Detroit Red Wings,82,48,28,,6,102,.622,0.55,0.00,3rd,Lost NHL Conference Quarter-Finals,M. Babcock
DET,http://www.hockey-reference.com/teams/DET/2011.html,2010-11,NHL,Detroit Red Wings,82,47,25,,10,104,.634,0.27,0.03,1st,Lost NHL Conference Semi-Finals,M. Babcock
DET,http://www.hockey-reference.com/teams/DET/2010.html,2009-10,NHL,Detroit Red Wings,82,44,24,,14,102,.622,0.23,0.07,2nd,Lost NHL Conference Semi-Finals,M. Babcock
DET,http://www.hockey-reference.com/teams/DET/2009.html,2008-09,NHL,Detroit Red Wings,82,51,21,,10,112,.683,0.62,0.00,1st,Lost Stanley Cup Finals,M. Babcock
DET,http://www.hockey-reference.com/teams/DET/2008.html,2007-08,NHL,Detroit Red Wings,82,54,21,,7,115,.701,0.93,0.04,1st,<strong>Won Stanley Cup Finals</strong>,M. Babcock
DET,http://www.hockey-reference.com/teams/DET/2007.html,2006-07,NHL,Detroit Red Wings,82,50,19,,13,113,.689,0.72,0.05,1st,Lost NHL Conference Finals,M. Babcock
DET,http://www.hockey-reference.com/teams/DET/2006.html,2005-06,NHL,Detroit Red Wings,82,58,16,,8,124,.756,1.03,-0.14,1st,Lost NHL Conference Quarter-Finals,M. Babcock
DET,http://www.hockey-reference.com/teams/DET/2004.html,2003-04,NHL,Detroit Red Wings,82,48,21,11,2,109,.665,0.72,-0.09,1st,Lost NHL Conference Semi-Finals,D. Lewis
DET,http://www.hockey-reference.com/teams/DET/2003.html,2002-03,NHL,Detroit Red Wings,82,48,20,10,4,110,.671,0.85,0.05,1st,Lost NHL Conference Quarter-Finals,D. Lewis
DET,http://www.hockey-reference.com/teams/DET/2002.html,2001-02,NHL,Detroit Red Wings,82,51,17,10,4,116,.707,0.83,0.05,1st,<strong>Won Stanley Cup Finals</strong>,S. Bowman
DET,http://www.hockey-reference.com/teams/DET/2001.html,2000-01,NHL,Detroit Red Wings,82,49,20,9,4,111,.677,0.63,0.01,1st,Lost NHL Conference Quarter-Finals,S. Bowman
DET,http://www.hockey-reference.com/teams/DET/2000.html,1999-00,NHL,Detroit Red Wings,82,48,22,10,2,108,.659,0.88,0.05,2nd,Lost NHL Conference Semi-Finals,S. Bowman
DET,http://www.hockey-reference.com/teams/DET/1999.html,1998-99,NHL,Detroit Red Wings,82,43,32,7,,93,.567,0.46,-0.06,1st,Lost NHL Conference Semi-Finals,D. Lewis,B. Smith,S. Bowman
DET,http://www.hockey-reference.com/teams/DET/1998.html,1997-98,NHL,Detroit Red Wings,82,44,23,15,,103,.628,0.64,-0.02,2nd,<strong>Won Stanley Cup Finals</strong>,S. Bowman
DET,http://www.hockey-reference.com/teams/DET/1997.html,1996-97,NHL,Detroit Red Wings,82,38,26,18,,94,.573,0.66,-0.03,2nd,<strong>Won Stanley Cup Finals</strong>,S. Bowman
DET,http://www.hockey-reference.com/teams/DET/1996.html,1995-96,NHL,Detroit Red Wings,82,62,13,7,,131,.799,1.64,-0.11,1st,Lost NHL Conference Finals,S. Bowman
DET,http://www.hockey-reference.com/teams/DET/1995.html,1994-95,NHL,Detroit Red Wings,48,33,11,4,,70,.729,1.24,-0.08,1st,Lost Stanley Cup Finals,S. Bowman
DET,http://www.hockey-reference.com/teams/DET/1994.html,1993-94,NHL,Detroit Red Wings,84,46,30,8,,100,.595,0.89,-0.08,1st,Lost NHL Conference Quarter-Finals,S. Bowman
DET,http://www.hockey-reference.com/teams/DET/1993.html,1992-93,NHL,Detroit Red Wings,84,47,28,9,,103,.613,0.99,-0.07,2nd,Lost NHL Division Semi-Finals,B. Murray
DET,http://www.hockey-reference.com/teams/DET/1992.html,1991-92,NHL,Detroit Red Wings,80,43,25,12,,98,.613,0.74,-0.06,1st,Lost NHL Division Finals,B. Murray
DET,http://www.hockey-reference.com/teams/DET/1991.html,1990-91,NHL,Detroit Red Wings,80,34,38,8,,76,.475,-0.27,0.05,3rd,Lost NHL Division Semi-Finals,B. Murray
DET,http://www.hockey-reference.com/teams/DET/1990.html,1989-90,NHL,Detroit Red Wings,80,28,38,14,,70,.438,-0.42,0.02,5th,,J. Demers
