team_id,url_for_year,Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
NYI,http://www.hockey-reference.com/teams/NYI/2012.html,2011-12,NHL,New York Islanders,82,34,37,,11,79,.482,-0.58,0.05,5th,,J. Capuano
NYI,http://www.hockey-reference.com/teams/NYI/2011.html,2010-11,NHL,New York Islanders,82,30,39,,13,73,.445,-0.42,0.01,5th,,S. Gordon,J. Capuano
NYI,http://www.hockey-reference.com/teams/NYI/2010.html,2009-10,NHL,New York Islanders,82,34,37,,11,79,.482,-0.53,-0.02,5th,,S. Gordon
NYI,http://www.hockey-reference.com/teams/NYI/2009.html,2008-09,NHL,New York Islanders,82,26,47,,9,61,.372,-0.91,0.05,5th,,S. Gordon
NYI,http://www.hockey-reference.com/teams/NYI/2008.html,2007-08,NHL,New York Islanders,82,35,38,,9,79,.482,-0.65,-0.05,5th,,T. Nolan,A. Arbour,T. Nolan
NYI,http://www.hockey-reference.com/teams/NYI/2007.html,2006-07,NHL,New York Islanders,82,40,30,,12,92,.561,-0.04,-0.14,4th,Lost NHL Conference Quarter-Finals,T. Nolan
NYI,http://www.hockey-reference.com/teams/NYI/2006.html,2005-06,NHL,New York Islanders,82,36,40,,6,78,.476,-0.62,-0.04,4th,,S. Stirling,B. Shaw
NYI,http://www.hockey-reference.com/teams/NYI/2004.html,2003-04,NHL,New York Islanders,82,38,29,11,4,91,.555,0.29,-0.04,3rd,Lost NHL Conference Quarter-Finals,S. Stirling
NYI,http://www.hockey-reference.com/teams/NYI/2003.html,2002-03,NHL,New York Islanders,82,35,34,11,2,83,.506,-0.16,-0.07,3rd,Lost NHL Conference Quarter-Finals,P. Laviolette
NYI,http://www.hockey-reference.com/teams/NYI/2002.html,2001-02,NHL,New York Islanders,82,42,28,8,4,96,.585,0.15,-0.08,2nd,Lost NHL Conference Quarter-Finals,P. Laviolette
NYI,http://www.hockey-reference.com/teams/NYI/2001.html,2000-01,NHL,New York Islanders,82,21,51,7,3,52,.317,-1.02,0.00,5th,,B. Goring,L. Henning
NYI,http://www.hockey-reference.com/teams/NYI/2000.html,1999-00,NHL,New York Islanders,82,24,48,9,1,58,.354,-1.02,-0.03,5th,,B. Goring
NYI,http://www.hockey-reference.com/teams/NYI/1999.html,1998-99,NHL,New York Islanders,82,24,48,10,,58,.354,-0.55,0.06,5th,,M. Milbury,B. Stewart
