team_id,url_for_year,Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
NYR,http://www.hockey-reference.com/teams/NYR/2012.html,2011-12,NHL,New York Rangers,82,51,24,,7,109,.665,0.46,-0.02,1st,Lost NHL Conference Finals,J. Tortorella
NYR,http://www.hockey-reference.com/teams/NYR/2011.html,2010-11,NHL,New York Rangers,82,44,33,,5,93,.567,0.37,-0.06,3rd,Lost NHL Conference Quarter-Finals,J. Tortorella
NYR,http://www.hockey-reference.com/teams/NYR/2010.html,2009-10,NHL,New York Rangers,82,38,33,,11,87,.530,0.00,-0.05,4th,,J. Tortorella
NYR,http://www.hockey-reference.com/teams/NYR/2009.html,2008-09,NHL,New York Rangers,82,43,30,,9,95,.579,-0.10,-0.01,4th,Lost NHL Conference Quarter-Finals,T. Renney,J. Tortorella
NYR,http://www.hockey-reference.com/teams/NYR/2008.html,2007-08,NHL,New York Rangers,82,42,27,,13,97,.591,0.05,-0.12,3rd,Lost NHL Conference Semi-Finals,T. Renney
NYR,http://www.hockey-reference.com/teams/NYR/2007.html,2006-07,NHL,New York Rangers,82,42,30,,10,94,.573,0.16,-0.16,3rd,Lost NHL Conference Semi-Finals,T. Renney
NYR,http://www.hockey-reference.com/teams/NYR/2006.html,2005-06,NHL,New York Rangers,82,44,26,,12,100,.610,0.38,-0.14,3rd,Lost NHL Conference Quarter-Finals,T. Renney
NYR,http://www.hockey-reference.com/teams/NYR/2004.html,2003-04,NHL,New York Rangers,82,27,40,7,8,69,.421,-0.51,0.03,4th,,G. Sather,T. Renney
NYR,http://www.hockey-reference.com/teams/NYR/2003.html,2002-03,NHL,New York Rangers,82,32,36,10,4,78,.476,-0.33,-0.08,4th,,B. Trottier,G. Sather
NYR,http://www.hockey-reference.com/teams/NYR/2002.html,2001-02,NHL,New York Rangers,82,36,38,4,4,80,.488,-0.43,-0.05,4th,,R. Low
NYR,http://www.hockey-reference.com/teams/NYR/2001.html,2000-01,NHL,New York Rangers,82,33,43,5,1,72,.439,-0.53,-0.04,4th,,R. Low
NYR,http://www.hockey-reference.com/teams/NYR/2000.html,1999-00,NHL,New York Rangers,82,29,38,12,3,73,.445,-0.39,-0.05,4th,,J. Muckler,J. Tortorella
