team_id,url_for_year,Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
STL,http://www.hockey-reference.com/teams/STL/2012.html,2011-12,NHL,St. Louis Blues,82,49,22,,11,109,.665,0.54,-0.01,1st,Lost NHL Conference Semi-Finals,D. Payne,K. Hitchcock
STL,http://www.hockey-reference.com/teams/STL/2011.html,2010-11,NHL,St. Louis Blues,82,38,33,,11,87,.530,0.11,0.04,4th,,D. Payne
STL,http://www.hockey-reference.com/teams/STL/2010.html,2009-10,NHL,St. Louis Blues,82,40,32,,10,90,.549,0.08,0.06,4th,,A. Murray,D. Payne
STL,http://www.hockey-reference.com/teams/STL/2009.html,2008-09,NHL,St. Louis Blues,82,41,31,,10,92,.561,0.05,0.05,3rd,Lost NHL Conference Quarter-Finals,A. Murray
STL,http://www.hockey-reference.com/teams/STL/2008.html,2007-08,NHL,St. Louis Blues,82,33,36,,13,79,.482,-0.24,0.16,5th,,A. Murray
STL,http://www.hockey-reference.com/teams/STL/2007.html,2006-07,NHL,St. Louis Blues,82,34,35,,13,81,.494,-0.33,0.15,3rd,,M. Kitchen,A. Murray
STL,http://www.hockey-reference.com/teams/STL/2006.html,2005-06,NHL,St. Louis Blues,82,21,46,,15,57,.348,-1.09,0.07,5th,,M. Kitchen
STL,http://www.hockey-reference.com/teams/STL/2004.html,2003-04,NHL,St. Louis Blues,82,39,30,11,2,91,.555,-0.09,-0.01,2nd,Lost NHL Conference Quarter-Finals,J. Quenneville,M. Kitchen
STL,http://www.hockey-reference.com/teams/STL/2003.html,2002-03,NHL,St. Louis Blues,82,41,24,11,6,99,.604,0.43,0.05,2nd,Lost NHL Conference Quarter-Finals,J. Quenneville
STL,http://www.hockey-reference.com/teams/STL/2002.html,2001-02,NHL,St. Louis Blues,82,43,27,8,4,98,.598,0.54,0.07,2nd,Lost NHL Conference Semi-Finals,J. Quenneville
STL,http://www.hockey-reference.com/teams/STL/2001.html,2000-01,NHL,St. Louis Blues,82,43,22,12,5,103,.628,0.67,0.01,2nd,Lost NHL Conference Finals,J. Quenneville
STL,http://www.hockey-reference.com/teams/STL/2000.html,1999-00,NHL,St. Louis Blues,82,51,19,11,1,114,.695,1.08,0.07,1st,Lost NHL Conference Quarter-Finals,J. Quenneville
STL,http://www.hockey-reference.com/teams/STL/1999.html,1998-99,NHL,St. Louis Blues,82,37,32,13,,87,.530,0.29,-0.05,2nd,Lost NHL Conference Semi-Finals,J. Quenneville
STL,http://www.hockey-reference.com/teams/STL/1998.html,1997-98,NHL,St. Louis Blues,82,45,29,8,,98,.598,0.63,0.00,3rd,Lost NHL Conference Semi-Finals,J. Quenneville
STL,http://www.hockey-reference.com/teams/STL/1997.html,1996-97,NHL,St. Louis Blues,82,36,35,11,,83,.506,-0.03,0.01,4th,Lost NHL Conference Quarter-Finals,M. Keenan,J. Roberts,J. Quenneville
