team_id,url_for_year,Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
VAN,http://www.hockey-reference.com/teams/VAN/2012.html,2011-12,NHL,Vancouver Canucks,82,51,22,,9,111,.677,0.57,-0.05,1st,Lost NHL Conference Quarter-Finals,A. Vigneault
VAN,http://www.hockey-reference.com/teams/VAN/2011.html,2010-11,NHL,Vancouver Canucks,82,54,19,,9,117,.713,0.87,-0.07,1st,Lost Stanley Cup Finals,A. Vigneault
VAN,http://www.hockey-reference.com/teams/VAN/2010.html,2009-10,NHL,Vancouver Canucks,82,49,28,,5,103,.628,0.60,-0.01,1st,Lost NHL Conference Semi-Finals,A. Vigneault
VAN,http://www.hockey-reference.com/teams/VAN/2009.html,2008-09,NHL,Vancouver Canucks,82,45,27,,10,100,.610,0.30,-0.02,1st,Lost NHL Conference Semi-Finals,A. Vigneault
VAN,http://www.hockey-reference.com/teams/VAN/2008.html,2007-08,NHL,Vancouver Canucks,82,39,33,,10,88,.537,0.08,0.11,5th,,A. Vigneault
VAN,http://www.hockey-reference.com/teams/VAN/2007.html,2006-07,NHL,Vancouver Canucks,82,49,26,,7,105,.640,0.39,0.13,1st,Lost NHL Conference Semi-Finals,A. Vigneault
VAN,http://www.hockey-reference.com/teams/VAN/2006.html,2005-06,NHL,Vancouver Canucks,82,42,32,,8,92,.561,0.11,0.10,4th,,M. Crawford
VAN,http://www.hockey-reference.com/teams/VAN/2004.html,2003-04,NHL,Vancouver Canucks,82,43,24,10,5,101,.616,0.52,0.02,1st,Lost NHL Conference Quarter-Finals,M. Crawford
VAN,http://www.hockey-reference.com/teams/VAN/2003.html,2002-03,NHL,Vancouver Canucks,82,45,23,13,1,104,.634,0.74,0.05,2nd,Lost NHL Conference Semi-Finals,M. Crawford
VAN,http://www.hockey-reference.com/teams/VAN/2002.html,2001-02,NHL,Vancouver Canucks,82,42,30,7,3,94,.573,0.59,0.07,2nd,Lost NHL Conference Quarter-Finals,M. Crawford
VAN,http://www.hockey-reference.com/teams/VAN/2001.html,2000-01,NHL,Vancouver Canucks,82,36,28,11,7,90,.549,0.08,0.07,3rd,Lost NHL Conference Quarter-Finals,M. Crawford
