team_acronym,Franchise,Lg,From,To,Yrs,GP,W,L,T,OL,PTS,PTS%,Yrs Plyf,Div,Conf,Champ,St Cup
ANA,Anaheim Ducks,NHL,1994,2013,19,1453,645,606,107,95,1492,.513,8,2,2,1,1
BOS,Boston Bruins,NHL,1925,2013,88,5969,2863,2208,791,107,6624,.555,67,28,3,6,6
BUF,Buffalo Sabres,NHL,1971,2013,42,3290,1572,1225,409,84,3637,.553,29,6,1,0,0
CGY,Calgary Flames,NHL,1973,2013,40,3131,1439,1217,379,96,3353,.535,26,6,3,1,1
CAR,Carolina Hurricanes,NHL,1980,2013,33,2576,1053,1174,263,86,2455,.477,13,4,2,1,1
CHI,Chicago Blackhawks,NHL,1927,2013,86,5904,2468,2528,814,94,5844,.495,57,16,2,4,4
COL,Colorado Avalanche,NHL,1980,2013,33,2578,1178,1067,261,72,2689,.522,21,10,2,2,2
CBJ,Columbus Blue Jackets,NHL,2001,2013,12,912,345,447,33,87,810,.444,1,0,0,0,0
DAL,Dallas Stars,NHL,1968,2013,45,3517,1515,1462,459,81,3570,.508,29,9,3,1,1
DET,Detroit Red Wings,NHL,1927,2013,86,5903,2715,2288,815,85,6330,.536,60,29,6,11,11
EDM,Edmonton Oilers,NHL,1980,2013,33,2578,1180,1039,262,97,2719,.527,20,6,7,5,5
FLA,Florida Panthers,NHL,1994,2013,19,1453,576,610,142,125,1419,.488,4,1,1,0,0
LAK,Los Angeles Kings,NHL,1968,2013,45,3514,1431,1564,424,95,3381,.481,26,1,2,1,1
MIN,Minnesota Wild,NHL,2001,2013,12,911,409,366,55,81,954,.524,3,1,0,0,0
MTL,Montreal Canadiens,NHL,1918,2013,95,6129,3141,2055,837,96,7215,.589,79,34,3,25,23
NSH,Nashville Predators,NHL,1999,2013,14,1075,507,426,60,82,1156,.538,7,0,0,0,0
NJD,New Jersey Devils,NHL,1975,2013,38,2977,1265,1314,328,70,2928,.492,22,9,5,3,3
NYI,New York Islanders,NHL,1973,2013,40,3133,1351,1349,347,86,3135,.500,21,6,3,4,4
NYR,New York Rangers,NHL,1927,2013,86,5903,2539,2469,808,87,5973,.506,54,7,1,4,4
OTT,Ottawa Senators,NHL,1993,2013,20,1538,685,654,115,84,1569,.510,13,4,1,0,0
PHI,Philadelphia Flyers,NHL,1968,2013,45,3516,1760,1208,457,91,4068,.578,36,16,4,2,2
PHX,Phoenix Coyotes,NHL,1980,2013,33,2578,1067,1162,266,83,2483,.482,19,1,0,0,0
PIT,Pittsburgh Penguins,NHL,1968,2013,45,3516,1514,1533,383,86,3497,.497,27,8,4,3,3
SJS,San Jose Sharks,NHL,1992,2013,21,1618,728,674,121,95,1672,.517,15,7,0,0,0
STL,St. Louis Blues,NHL,1968,2013,45,3515,1550,1432,432,101,3633,.517,36,8,0,0,0
TBL,Tampa Bay Lightning,NHL,1993,2013,20,1537,594,735,112,96,1396,.454,6,3,1,1,1
TOR,Toronto Maple Leafs,NHL,1918,2013,95,6130,2676,2575,783,96,6231,.508,64,8,0,13,13
VAN,Vancouver Canucks,NHL,1971,2013,42,3289,1358,1456,391,84,3191,.485,25,10,3,0,0
WSH,Washington Capitals,NHL,1975,2013,38,2978,1307,1276,303,92,3009,.505,23,7,1,0,0
WPG,Winnipeg Jets,NHL,2000,2013,13,993,383,476,45,89,900,.453,1,1,0,0,0
CLE,Cleveland Barons,NHL,1968,1978,11,858,229,488,141,,599,.349,2,0,,0,0
HAM,Hamilton Tigers,NHL,1921,1925,5,126,47,78,1,,95,.377,0,1,,0,0
MTM,Montreal Maroons,NHL,1925,1938,14,622,271,260,91,,633,.509,11,2,,2,2
MTW,Montreal Wanderers,NHL,1918,1918,1,6,1,5,0,,2,.167,0,0,,0,0
NYA,New York Americans,NHL,1926,1942,17,784,255,402,127,,637,.406,5,0,,0,0
OTS,Ottawa Senators,NHL,1918,1934,16,542,258,221,63,,579,.534,9,7,,4,4
PHQ,Philadelphia Quakers,NHL,1931,1931,1,44,4,36,4,,12,.136,0,0,,0,0
PTP,Pittsburgh Pirates,NHL,1926,1930,5,212,67,122,23,,157,.370,2,0,,0,0
QBC,Quebec Bulldogs,NHL,1920,1920,1,24,4,20,0,,8,.167,0,0,,0,0
STE,St. Louis Eagles,NHL,1935,1935,1,48,11,31,6,,28,.292,0,0,,0,0
